Rxn,Flux
EX_3dhq_e,0.225152175656546
EX_ac_e,0.09120560765273
EX_ade_e,0.017956006369181
EX_btn_e,-1.720003784e-06
EX_ca2_e,-0.004222467210609
EX_cl_e,-0.00422268204682
EX_co2_e,86.64316776646467
EX_etoh_e,86.39989703367478
EX_fe2_e,-0.006383401849074
EX_gcald_e,0.000763625429502
EX_glc_e,-55.1
EX_glyc_e,0.001524743206197
EX_h_e,20.905007009485644
EX_h2o_e,8.629855832388444
EX_k_e,-0.158411197885405
EX_lac__D_e,19.03963794018245
EX_mg2_e,-0.007041935761343
EX_mobd_e,-5.629236926e-06
EX_nh4_e,-3.186571441331762
EX_pi_e,-0.276359447184834
EX_pnto__R_e,-0.00049179067486
EX_so4_e,-0.049285225279629
EX_succ_e,0.119949250201229
EX_ISOP_e,0.060622458782385
3DHQtex,0.225152175656546
3DHQtpp,0.225152175656546
3HAD100,0.033560401450828
3HAD120,0.005503905837936
3HAD121,0.028056495612892
3HAD140,0.005503905837936
3HAD141,0.028056495612892
3HAD160,0.003825885765394
3HAD161,0.027955814408539
3HAD181,0.027251045978072
3HAD40,0.033560401450828
3HAD60,0.033560401450828
3HAD80,0.033560401450828
3OAR100,0.033560401450828
3OAR120,0.005503905837936
3OAR121,0.028056495612892
3OAR140,0.005503905837936
3OAR141,0.028056495612892
3OAR160,0.003825885765394
3OAR161,0.027955814408539
3OAR181,0.027251045978072
3OAR40,0.033560401450828
3OAR60,0.033560401450828
3OAR80,0.033560401450828
3OAS100,0.033560401450828
3OAS120,0.005503905837936
3OAS121,0.028056495612892
3OAS140,0.005503905837936
3OAS141,0.028056495612892
3OAS160,0.003825885765394
3OAS161,0.027955814408539
3OAS181,0.027251045978072
3OAS60,0.033560401450828
3OAS80,0.033560401450828
ACALDtpp,0.0
ACGK,0.023111934940666
ACONTa,0.32322904721657
ACONTb,0.32322904721657
ACOTA,-0.023111934940666
ACt2rpp,-0.094936284188425
ACt4pp,0.003730676535695
ACtex,-0.09120560765273
ADCL,0.000763625429502
ADEt2rpp,-0.017956006369181
ADEtex,-0.017956006369181
ADK1,2.143157589346725
ADNK1,0.000536966423213
ADSK,0.045770621502316
ADSL1r,0.114910348706614
ADSL2r,0.156891202117201
ADSS,0.114910348706614
AGPAT_ZM,0.016780200725414
AGPR,-0.023111934940666
AHCi,0.000536966423213
AICART,0.189383874262902
AIRC2,0.156891202117201
AIRC3,-0.156891202117201
AKP1,0.000763625429502
ALAALAr,0.00814825
ALAR,0.0162965
ALATA_L,-0.179055363662802
ALATRS,0.155736015828256
ALCD2x,-86.39989703367478
ALLPI,0.0
AMPMS2,0.000190904794051
ANPRT,0.011986168167954
APRAUR,0.0003818214813
ARGSL,0.085014562235577
ARGSS,0.085014562235577
ARGTRS,0.085014562235577
ASAD,-0.426615188259235
ASNS2,0.054622251764629
ASPCT,0.118001035259375
