rxnid	kapp (1/s)
RXN-G5SD_FWD-ZMO1661	15.650401212015657
RXN-IGPDH_FWD-ZMO1503	2.04024063837968
RXN-DPCOAK_FWD-ZMO0040	0.3706930598535638
RXN-AHCi_FWD-ZMO0182	0.01615381020948265
RXN-SERTRS_FWD-ZMO0986	5.880284789629467
RXN-PGCD_FWD-ZMO1685	4.939695106130087
RXN-UAGPT3_FWD-ZMO0831	1.3153982193581009
RXN-HPN1_fdx_FWD-ZMO0874	0.3415326241364183
RXN-SO4t2pp_FWD-ZMO0546	105.87577341186466
RXN-CTPS2_FWD-ZMO0462	15.597713227484068
RXN-PSSA_ZM_FWD-ZMO1159	27.28840364880231
RXN-ARGSL_FWD-ZMO1770	2.483852373623684
RXN-MECDPDH5_fdx_FWD-ZMO0180	2.40087784774457
RXN-DTMPK_FWD-ZMO1090	2.0273866334539203
RXN-PYK_FWD-ZMO0152	96.42818886061183
RXN-CYSTL_FWD-ZMO0327	1.8054012100854948
RXN-RPE_REV-ZMO0018	19.091773243370064
RXN-DXPRIi_FWD-ZMO1150	9.941786023023681
RXN-THDPS_FWD-ZMO0431	8.897112583521277
RXN-HSDy_REV-ZMO0483	10.308428214734569
RXN-UDCPDPS_FWD-ZMO1152	0.1544163196100561
RXN-PYRDC_FWD-ZMO1360	598.6213740710028
RXN-CHORS_FWD-ZMO1693	27.385341132226248
RXN-C190cSN_FWD-ZMO1033	0.11423174847162729
RXN-DAPE_FWD-ZMO1072	37.19817201526027
RXN-ORPT_REV-ZMO1707	7.072247301100268
RXN-IGPS_FWD-ZMO0545	2.6711450880386836
RXN-ALATA_L_REV-ZMO1727	10.59472291362862
RXN-DHORDfum_FWD-ZMO0120	10.56970280329128
RXN-DHFS_FWD-ZMO0582	0.09689906375551953
RXN-S4FE4SR_FWD-ZMOenz12	0.044188050345654005
RXN-TRDR_FWD-ZMOenz28	1.575136551031139
RXN-OCBT_FWD-ZMO0409	1.5333689935445123
RXN-METB1_FWD-ZMO0676	2.002534372863977
RXN-HISTD_FWD-ZMO1551	0.35731457657798243
RXN-DHQTi_FWD-ZMO0737	4122.089298028108
RXN-ANPRT_FWD-ZMO0200	1.8672982194242824
RXN-METAT_FWD-ZMO0273	0.6138341048721947
RXN-HCO3E_FWD-ZMO1133	17.978023215199443
RXN-PRAIi_FWD-ZMO0586	1.3651279473064923
RXN-EDD_FWD-ZMO0368	344.9283487437941
