multiplier	production	modelStat
0.100000	71.213179578520800	1
0.250000	71.843778033304260	1
0.500000	72.054877448179470	1
1.000000	72.160596702997280	1
1.500000	72.195861618187340	1
2.000000	72.213498797969800	1
5.000000	72.245253656506970	1
10.000000	72.255840877864100	1
50.000000	72.264311471179100	1
100.000000	72.265370346318380	1
250.000000	72.265997298880400	1
500.000000	72.266217454918660	1
750.000000	72.266285254951070	1
1000.000000	72.266321248309400	1
5000.000000	72.266407636419900	1
7500.000000	72.266410464049840	1
10000.000000	72.266418644088840	1
